Año,ID Grupo,Grupo,ID Subgrupo,SubGrupo,ID Cuenta,Cuenta,Valores,Abs Valores
2025,1,Importe neto de la cifra de negocios,b,Prestaciones de servicios,71100000,INGRESOS POR SERVICIOS DE CONSULTORIA,3817233.49,3817233.49
2025,1,Importe neto de la cifra de negocios,b,Prestaciones de servicios,71100001,INGRESOS POR LICENCIAS DE PLATAFORMA,6883.41,6883.41
2025,2,Variación de existencias de productos terminados y en curso de fabr,b,Prestaciones de servicios,Variación de existencias de productos terminados y en curso de fabricación,,27151.23,27151.23
2025,2,Variación de existencias de productos terminados y en curso de fabr,b,Prestaciones de servicios,79310000,REVERSION VARIACION PROD TERM Y CUR FAB,27151.23,27151.23
2025,4,Aprovisionamientos,c,Trabajos realizados por otras empresas,61100000,TRABAJOS SUBCONTRATADOS DIVERSOS,-160987.67,160987.67
2025,4,Aprovisionamientos,c,Trabajos realizados por otras empresas,61100001,COMPASS FIELDING NETWORK SERVICES,-1473784.06,1473784.06
2025,4,Aprovisionamientos,c,Trabajos realizados por otras empresas,61100002,ESTUARY PAYMENT SOLUTIONS,-24895.0,24895.0
2025,6,Gastos de personal,a,Sueldos salarios y asimilados,64010000,SUELDOS Y SALARIOS,-563001.78,563001.78
2025,6,Gastos de personal,b,Cargos sociales,64210000,SEGURIDAD SOCIAL A CARGO DE LA EMPRESA,-110042.79,110042.79
2025,7,Otros gastos de explotación,a,Servicios exteriores,62100000,ARRENDAMIENTOS Y CANONES,-4808.94,4808.94
2025,7,Otros gastos de explotación,a,Servicios exteriores,62100001,ALQUILER OFICINA CALLE ALMENDROS,-10612.84,10612.84
2025,7,Otros gastos de explotación,a,Servicios exteriores,62100002,ARRENDAMIENTO PLAZA APARCAMIENTO,-912.04,912.04
2025,7,Otros gastos de explotación,a,Servicios exteriores,62300000,SERVICIOS PROFESIONALES INDEPENDIENTES,-535616.69,535616.69
2025,7,Otros gastos de explotación,a,Servicios exteriores,62500000,PRIMAS DE SEGUROS,-522.35,522.35
2025,7,Otros gastos de explotación,a,Servicios exteriores,62500001,SEGURO DE VIDA BANCO SOLVIA,-994.95,994.95
2025,7,Otros gastos de explotación,a,Servicios exteriores,62600000,SERVICIOS BANCARIOS Y SIMILARES,-5.39,5.39
2025,7,Otros gastos de explotación,a,Servicios exteriores,62600001,Servicios bancarios BANCO SOLVIA,-787.67,787.67
2025,7,Otros gastos de explotación,a,Servicios exteriores,62600003,Servicios bancarios BANCO AURIFERA,-6.22,6.22
2025,7,Otros gastos de explotación,a,Servicios exteriores,62600004,Servicios bancarios COOPERATIVA ROBLEDO,-356.53,356.53
