SOLANTIS BRIDGE DIGITAL SL,,
SOLANTIS BRIDGE DIGITAL SL - Pérdidas y ganancias 01/01/2024-31/12/2024,,
01/01/2024  -  31/12/2024,,
,,
,Total,
1. Importe neto de la cifra de negocios,"2.798.905,60",
b) Prestaciones de servicios,"2.798.905,60",
71100000 - INGRESOS POR SERVICIOS DE CONSULTORIA,"2.793.867,57",
71100001 - INGRESOS POR LICENCIAS DE PLATAFORMA,"5.038,03",
,,
2. Variación de existencias de productos terminados y en curso de fabr,"21.271,68",
Variación de existencias de productos terminados y en curso de fabricación,"21.271,68",
79310000 - REVERSION VARIACION PROD TERM Y CUR FAB,"21.271,68",
,,
4. Aprovisionamientos,"-1.248.311,90",
c) Trabajos realizados por otras empresas,"-1.248.311,90",
61100000 - TRABAJOS SUBCONTRATADOS DIVERSOS,"-121.086,25",
61100001 - COMPASS FIELDING NETWORK SERVICES,"-1.108.500,97",
61100002 - ESTUARY PAYMENT SOLUTIONS,"-18.724,68",
,,
6. Gastos de personal,"-517.797,54",
a) Sueldos salarios y asimilados,"-433.137,64",
64010000 - SUELDOS Y SALARIOS,"-433.137,64",
b) Cargos sociales,"-84.659,90",
64210000 - SEGURIDAD SOCIAL A CARGO DE LA EMPRESA,"-84.659,90",
,,
7. Otros gastos de explotación,"-640.949,38",
a) Servicios exteriores,"-640.404,57",
62100000 - ARRENDAMIENTOS Y CANONES,"-3.714,35",
62100001 - ALQUILER OFICINA CALLE ALMENDROS,"-8.197,18",
62100002 - ARRENDAMIENTO PLAZA APARCAMIENTO,"-704,45",
62300000 - SERVICIOS PROFESIONALES INDEPENDIENTES,"-413.701,35",
62500000 - PRIMAS DE SEGUROS,"-403,45",
62500001 - SEGURO DE VIDA BANCO SOLVIA,"-768,49",
62600000 - SERVICIOS BANCARIOS Y SIMILARES,"-4,16",
62600001 - Servicios bancarios BANCO SOLVIA,"-608,38",
62600003 - Servicios bancarios BANCO AURIFERA,"-4,80",
62600004 - Servicios bancarios COOPERATIVA ROBLEDO,"-275,37",
62600005 - Servicios bancarios BANCO VENTISCA,"-33,62",
62600006 - Servicios bancarios CRYPTOBRIDGE EXCHANGE,"-12.744,05",
62600008 - SERVICIOS BANCARIOS USUARIO NUCLEO,"-576,36",
62600009 - PAGOFLEX APP,"-634,00",
62600010 - Servicios bancarios CAJA MERIDIANA,"-589,17",
62700000 - PUBLICIDAD PROPAGANDA Y RELACIONES PUBLICAS,"-42.714,98",
62800000 - SUMINISTROS,"-2.241,42",
62900000 - OTROS SERVICIOS,"-6.788,29",
62900001 - OFICINA SEVILLA RONDA,"-16,33",
62900002 - GASTOS VIAJE DMC,"-15.753,95",
62900003 - OFICINA SEVILLA ALAMEDA,"-7.236,57",
62900004 - GASTOS VIAJE JFT,"-3.073,94",
62900006 - SERVICIOS TELEFONICOS,"-16.138,20",
62900007 - RECLASIFICACION IVA SOPORTADO,"-98.686,34",
b) Tributos,"-544,81",
63110000 - OTROS TRIBUTOS,"-544,81",
,,
8. Amortización del inmovilizado,"-61.855,81",
Amortización del inmovilizado,"-61.855,81",
68010001 - DOTAMORT LICENCIA SOFTWARE DE GESTION,"-58.701,16",
68210001 - DOTAMORT4 SILLONES RECEPCION,"-110,82",
68210002 - DOTAMORT4 MESAS AUXILIARES ROBLE,"-87,73",
68210003 - DOTAMORT3 CAJONERAS METALICAS,"-66,49",
68210004 - DOTAMORT3 ESTANTERIAS MODULARES,"-62,80",
68210005 - DOTAMORT5 ARCHIVADORES NORDICOS,"-55,41",
68210006 - DOTAMORT2 ARMARIOS COMPACTOS,"-50,79",
68210007 - DOTAMORT3 PUFS TRIANGULARES,"-44,33",
68210008 - DOTAMORT MESA REUNIONES OVALADA 220X110,"-41,56",
68210009 - DOTAMORT2 CONJUNTO 3 MESAS PLEGABLES 100X100,"-38,79",
68210010 - DOTAMORT MESA TRABAJO 110X70 SOBRE MADERA CLARA,"-36,94",
